crop_type,location,quantity,season,quality,price
maize,Punjab,253,Kharif,C,1618
maize,Odisha,426,Rabi,A,1736
rice,Maharashtra,453,Zaid,A,2411
maize,Karnataka,19,Rabi,C,1652
soybean,UP,96,Zaid,C,3770
tomato,Punjab,184,Rabi,B,1279
soybean,Karnataka,500,Kharif,B,4086
rice,Karnataka,216,Rabi,A,2326
wheat,Odisha,443,Kharif,A,2204
wheat,Karnataka,280,Zaid,C,2744
rice,Odisha,469,Kharif,B,2287
maize,UP,30,Rabi,B,1706
rice,Punjab,433,Kharif,C,2219
onion,Punjab,428,Zaid,B,2284
wheat,Odisha,299,Kharif,B,2630
wheat,Punjab,277,Kharif,A,2275
onion,Punjab,285,Zaid,B,2041
onion,Odisha,97,Kharif,A,2051
rice,Karnataka,220,Rabi,C,2553
rice,UP,396,Rabi,C,2923
rice,Maharashtra,302,Kharif,C,2258
soybean,Punjab,364,Zaid,A,3391
rice,UP,374,Kharif,B,2986
rice,Punjab,402,Kharif,B,2631
potato,Odisha,142,Kharif,C,1653
maize,UP,331,Kharif,C,2019
soybean,Odisha,354,Kharif,B,4714
tomato,Odisha,59,Kharif,C,1672
onion,Punjab,183,Zaid,A,2283
tomato,UP,328,Kharif,B,1557
onion,Maharashtra,202,Kharif,B,1326
maize,Maharashtra,426,Kharif,C,1972
maize,Odisha,352,Kharif,B,1851
onion,Maharashtra,219,Zaid,B,1197
rice,Punjab,355,Rabi,A,2585
rice,Karnataka,447,Zaid,B,2215
wheat,Karnataka,496,Zaid,C,2100
potato,Maharashtra,12,Rabi,B,1480
potato,Karnataka,491,Zaid,A,894
potato,Karnataka,134,Zaid,B,1705
rice,Punjab,246,Kharif,C,1806
maize,Karnataka,329,Zaid,C,1951
rice,Punjab,457,Zaid,C,2694
potato,Punjab,493,Rabi,B,1570
onion,Karnataka,205,Rabi,A,2183
rice,UP,449,Rabi,C,2617
potato,UP,443,Kharif,B,1153
onion,Karnataka,436,Zaid,A,1189
soybean,UP,136,Kharif,A,3499
maize,UP,129,Rabi,C,2113
rice,Punjab,364,Kharif,A,2782
maize,Punjab,470,Kharif,C,1699
soybean,Odisha,236,Rabi,A,4208
soybean,Odisha,176,Kharif,A,3268
rice,Odisha,441,Zaid,C,1936
potato,Odisha,349,Zaid,C,1225
maize,Punjab,277,Rabi,C,1666
maize,UP,244,Rabi,A,2001
soybean,Karnataka,136,Zaid,B,4280
soybean,UP,444,Zaid,C,3124
soybean,UP,455,Rabi,B,3251
wheat,Punjab,83,Zaid,A,2635
soybean,UP,390,Kharif,A,3329
onion,Maharashtra,304,Kharif,B,1282
rice,Maharashtra,143,Kharif,B,2093
maize,Odisha,90,Rabi,B,1647
onion,UP,187,Rabi,B,1291
potato,Maharashtra,78,Kharif,B,1611
maize,Maharashtra,355,Rabi,B,1949
onion,UP,400,Rabi,C,1744
maize,UP,139,Zaid,C,1591
wheat,Odisha,163,Zaid,C,2750
potato,Odisha,64,Rabi,A,1665
soybean,Maharashtra,105,Zaid,B,3003
potato,UP,443,Zaid,C,1546
rice,Punjab,179,Zaid,B,2536
soybean,Punjab,334,Kharif,B,4345
onion,Maharashtra,368,Kharif,B,2188
maize,Maharashtra,13,Zaid,B,2108
rice,Maharashtra,213,Zaid,A,2310
tomato,Maharashtra,103,Kharif,A,1388
maize,Maharashtra,489,Rabi,B,1775
soybean,Maharashtra,99,Kharif,A,3407
maize,Karnataka,245,Zaid,C,1524
maize,Karnataka,442,Zaid,C,2015
maize,Maharashtra,40,Rabi,C,2003
rice,Maharashtra,24,Kharif,C,2813
wheat,Maharashtra,205,Rabi,B,2659
tomato,UP,202,Kharif,B,1181
onion,Karnataka,426,Kharif,B,1428
wheat,Odisha,53,Rabi,C,2172
soybean,Karnataka,390,Zaid,A,3188
potato,Odisha,468,Zaid,B,715
tomato,Odisha,88,Rabi,B,957
tomato,Maharashtra,165,Rabi,A,1687
maize,Odisha,341,Rabi,C,2181
maize,Punjab,398,Kharif,B,1998
soybean,Maharashtra,367,Kharif,B,3130
potato,Karnataka,379,Kharif,A,1025
maize,UP,310,Kharif,C,1580
